sample_name	ASV_1	ASV_1000	ASV_1001	ASV_101	ASV_102	ASV_1039	ASV_1058	ASV_106	ASV_1080	ASV_1087	ASV_1091	ASV_11	ASV_111	ASV_1117	ASV_1135	ASV_1140	ASV_1144	ASV_1156	ASV_116	ASV_1164	ASV_1177	ASV_1184	ASV_119	ASV_1194	ASV_12	ASV_1204	ASV_1206	ASV_1208	ASV_121	ASV_1231	ASV_1241	ASV_1246	ASV_1281	ASV_1291	ASV_1317	ASV_1319	ASV_134	ASV_1353	ASV_1358	ASV_1361	ASV_1436	ASV_1438	ASV_144	ASV_1440	ASV_147	ASV_15	ASV_155	ASV_158	ASV_167	ASV_168	ASV_174	ASV_181	ASV_184	ASV_188	ASV_2	ASV_20	ASV_206	ASV_215	ASV_217	ASV_225	ASV_250	ASV_252	ASV_254	ASV_26	ASV_275	ASV_279	ASV_287	ASV_295	ASV_3	ASV_340	ASV_354	ASV_359	ASV_360	ASV_384	ASV_396	ASV_4	ASV_407	ASV_408	ASV_432	ASV_433	ASV_437	ASV_447	ASV_45	ASV_459	ASV_461	ASV_476	ASV_478	ASV_485	ASV_487	ASV_491	ASV_494	ASV_5	ASV_502	ASV_508	ASV_529	ASV_530	ASV_535	ASV_540	ASV_56	ASV_6	ASV_603	ASV_612	ASV_63	ASV_642	ASV_669	ASV_7	ASV_705	ASV_708	ASV_729	ASV_738	ASV_74	ASV_768	ASV_784	ASV_8	ASV_830	ASV_834	ASV_840	ASV_852	ASV_869	ASV_875	ASV_887	ASV_894	ASV_898	ASV_9	ASV_904	ASV_916	ASV_957	ASV_960	ASV_971	ASV_974	ASV_979	ASV_998
Algae1-1	7096	0	0	0	30	0	0	111	0	0	0	0	37	0	0	0	0	0	0	11	10	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	30	123	0	46	140	0	0	583	143	0	422	0	0	104	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	2240	38	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	77	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-2	39644	0	0	0	0	0	0	320	0	5	0	125	5	0	13	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	19	33	68	0	0	0	192	0	0	0	0	0	0	0	0	0	21	0	0	0	120	0	0	0	0	0	23	6081	0	0	101	0	0	0	331	0	0	10	0	0	0	0	0	1432	0	0	0	0	0	0	202	0	0	0	47	0	0	0	0	0	0	28	309	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-5	15712	0	0	0	0	0	0	0	0	0	0	801	135	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	301	0	93	0	0	282	19	0	0	0	1017	0	0	319	0	9	0	0	0	0	26	0	0	0	0	0	0	0	14	0	30	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	663	0	0	160	0	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Algae1-6	7527	0	0	0	99	0	0	19	0	0	0	2464	0	13	0	0	0	12	0	0	0	0	0	0	9128	0	0	0	23	8	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	9	0	0	16	9	0	0	0	1012	389	0	62	0	0	0	186	37	0	0	0	0	470	0	16	0	0	0	0	0	17931	0	0	11	0	0	0	426	191	0	0	0	0	0	0	0	4230	0	0	0	0	0	0	0	0	0	0	125	0	69	0	0	0	0	0	46	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Algae2-2	80469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae2-5	15163	0	0	0	551	17	0	265	0	0	0	712	57	0	0	0	0	0	0	0	0	0	0	0	2534	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	703	0	0	0	689	0	0	0	78	0	0	0	2644	0	0	0	0	12	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	8681	219	101	0	207	0	0	1226	0	0	0	0	0	0	0	0	785	0	0	0	0	0	130	1418	0	0	0	192	0	0	0	0	0	0	0	542	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Algae2-6	18514	19	0	0	140	0	0	246	0	9	0	334	181	0	0	0	0	0	0	0	0	0	0	0	1856	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	111	0	0	0	157	0	0	265	56	0	0	58	766	0	0	0	0	28	0	0	0	0	0	0	0	0	0	8	36	0	8	8	0	521	0	79	67	0	0	0	4351	0	0	0	0	0	95	0	0	705	0	0	0	0	0	0	519	0	0	0	38	0	0	0	0	29	0	0	331	0	24	306	0	0	0	33	0	0	30	0	0	0	0	36	0	0	0	0	0	0
Algae2-7	5759	0	0	0	389	0	0	777	0	0	0	0	140	0	0	0	0	0	11	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	285	582	288	51	583	0	0	308	1666	382	430	0	0	0	0	0	73	0	0	0	0	0	0	0	38	0	0	0	85	5388	18	44	0	0	0	0	597	0	0	19	0	0	0	0	18	680	0	0	0	0	0	0	462	0	0	0	1392	0	0	0	0	18	0	0	511	0	0	325	0	0	0	0	0	0	0	0	0	0	28	0	0	12	0	0	0	0
Stichodactyla1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stichodactyla1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porites1-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40739	0	0	0	0	0	0	0	0	0	0	0	0	0	39242	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goniastrea1-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	8532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goniastrea1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
