DIV	Tridacna2	Tridacna3	Tridacna6	Tridacna7	Tridacna8	Amphisorus1-4	Amphisorus1-10	Amphisorus2-30	Amphisorus1-5	Amphisorus2-5	Amphisorus2-2	Amphisorus2-31	Goniastrea1-3	Amphisorus2-4	Tridacna9	Sediment1-5	Algae1-2	Algae1-5	Tridacna5	Tridacna4	Tridacna1	Algae2-6	Sediment2-5	Sorites1-13	Algae2-2	Sediment2-9	Sediment2-6	Sorites2-29	Algae1-1	Water2-7	Sediment1-7	Sediment1-8	Sediment2-4	Porites2-3	Porites1-12	Porites1-6	Porites2-1	Porites2-9	Porites2-7	Water1-4	Water1-3	Water1-1	Water1-2	Montipora2-6	Montipora1-2	Stichodactyla1-2	Stichodactyla1-1	Goniastrea2-2	Goniastrea1-5	Goniastrea2-14	Goniastrea1-14	Goniastrea1-1	Goniastrea1-9	Goniastrea2-18	Goniastrea2-19	Goniastrea2-16	Water2-8	Water2-5	Water2-6	Sorites1-12	Sorites1-9	Sorites1-14	Sorites2-22	Algae1-6	Sediment1-6	Algae2-5	Algae2-7	Amphisorus1-7	Amphisorus2-1	Amphisorus1-2	Amphisorus2-6	Amphisorus1-3	Sorites2-21	Amphisorus2-3
1	A6	35464	28710	26100	0	26932	0	0	0	0	0	0	0	0	0	1239	0	0	0	12085	17663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	A3	1543	1577	5835	69734	33108	0	0	0	0	0	0	0	0	0	6800	0	0	0	540	676	22904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
3	A3g	10557	7968	15955	0	10472	0	0	0	0	0	0	0	0	0	422	0	0	0	7002	5468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	5624_A	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	8	94	69	0	0	0	47	0	0	0	18	0	0	96	735	32	13	47	0	0	0	0	0	0	11	54	70	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1199	341	414	0	0	0	0	176	105	254	1649	41	6	0	0	0	0	0
5	5592_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	232	53	0	0	0	672	93	0	0	456	42	0	260	339	39	43	204	0	0	0	0	0	0	25	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	331	222	0	0	0	0	26	31	1848	844	7	0	0	0	0	0	0
6	5591_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	357	797	0	0	0	420	117	0	0	205	51	0	567	32	290	408	293	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	73	211	507	604	0	0	0	0	0	0	0
7	A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	143	360	499	460	0	0	0	0	0	0	0	0	0	0	0	0	0	150	98	178	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
8	A6d	3879	2551	4859	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	2338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	5599_A	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	66	0	0	0	0	0	0	32	0	0	10	42	0	0	367	55	51	133	0	0	0	0	0	0	13	152	112	43	0	0	0	0	0	0	0	0	0	0	0	0	0	793	128	257	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0
10	5605_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	43	0	0	0	0	156	14	0	0	92	12	0	46	474	30	171	9	0	0	0	0	0	0	36	25	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	131	108	125	0	0	0	0	103	69	673	355	0	5	0	0	0	0	0
11	A5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	311	0	0	0	0	311	0	0	0	73	46	0	156	136	26	6	25	0	0	0	0	0	0	27	0	27	13	0	0	0	0	0	0	0	0	0	0	0	0	0	198	155	100	0	0	0	93	35	62	347	935	4	0	0	6	0	0	0
