"Genus","Species","Best_match","Label_match","ASV","Intersection"
"Cladocopium",NA,"C1_C78a","ASV_1_C1_C78a","ASV_1","Environment/Foraminifera/Multicellular hosts"
"Durusdinium",NA,"D1","ASV_2_D1","ASV_2","Environment/Foraminifera/Multicellular hosts"
"Durusdinium",NA,"D4","ASV_8_D4","ASV_8","Environment/Foraminifera/Multicellular hosts"
"Cladocopium",NA,"98.3_C66au","ASV_225_98.3_C66au","ASV_225","Environment/Foraminifera"
"Freudenthalidium","F3_AJ291525_F3.1_F3h_99.6","F3w","ASV_11_F3w","ASV_11","Environment/Foraminifera"
"Freudenthalidium","6012_F_id92.2_F3.2","92.5_F3o","ASV_134_92.5_F3o","ASV_134","Environment/Foraminifera"
"Freudenthalidium","5588_F_id95.9_F3.2","96.3_F3o","ASV_26_96.3_F3o","ASV_26","Environment/Foraminifera"
"Freudenthalidium",NA,"96.7_F3o","ASV_5_96.7_F3o","ASV_5","Environment/Foraminifera"
"Freudenthalidium","5892_F_id87.7_F3.2","87.7_F3.2","ASV_340_87.7_F3.2","ASV_340","Environment/Foraminifera"
"Fugacium",NA,"98.9_F5.1_F5g/F5n","ASV_101_98.9_F5.1_F5g/F5n","ASV_101","Environment/Foraminifera"
"Fugacium","F5.1_AF333516_F5.1_F5c","F5.1_F5c","ASV_4_F5.1_F5c","ASV_4","Environment/Foraminifera"
"Fugacium","F5.1a_AM748591_F5.1a/F5u_F5.1b_99.6","F5.1a/F5u","ASV_20_F5.1a/F5u","ASV_20","Environment/Foraminifera"
"Miliolidium","M_AM748617_D1.2","91_M_D1.2","ASV_12_91_M_D1.2","ASV_12","Environment/Foraminifera"
"Miliolidium",NA,"84.7_M_D1.2","ASV_360_84.7_M_D1.2","ASV_360","Environment/Foraminifera"
"Miliolidium",NA,"73.9_M_JQ247049_D1.1","ASV_252_73.9_M_JQ247049_D1.1","ASV_252","Environment/Foraminifera"
"Symbiodinium",NA,"99.6_A5ac","ASV_168_99.6_A5ac","ASV_168","Environment/Foraminifera"
"Symbiodinium","5624_A_id97.5_A2x","97.5_A2e_A2x","ASV_63_97.5_A2e_A2x","ASV_63","Environment/Foraminifera"
"Symbiodinium","A_EU106365_A5a_A5y_99.6","A5a","ASV_106_A5a","ASV_106","Environment/Foraminifera"
"Symbiodinium",NA,"75.8_A1my","ASV_45_75.8_A1my","ASV_45","Environment/Foraminifera"
"Cladocopium",NA,"C21dp","ASV_9_C21dp","ASV_9","Environment/Multicellular hosts"
"Cladocopium",NA,"C15","ASV_3_C15","ASV_3","Environment/Multicellular hosts"
"Cladocopium",NA,"97.9_C66au","ASV_705_97.9_C66au","ASV_705","Environment"
"Cladocopium",NA,"96.4_C1jz","ASV_540_96.4_C1jz","ASV_540","Environment"
"Halluxium","H5_AM748609_H5_H5a_99.6","99.6_H5","ASV_295_99.6_H5","ASV_295","Environment"
"Freudenthalidium",NA,"85.1_F3s_F3p","ASV_960_85.1_F3s_F3p","ASV_960","Environment"
"Freudenthalidium","5758_F_id98.9_F3m","F3m","ASV_215_F3m","ASV_215","Environment"
"Freudenthalidium","F3_AJ291525_F3.1_F3h_99.6","F3.1","ASV_206_F3.1","ASV_206","Environment"
"clade_Fr4","F4_AJ291528_F4.1_99.2_F4.1a_98.0","98.8_F4.1","ASV_669_98.8_F4.1","ASV_669","Environment"
"Fugacium","F5.2a_AJ291532_F5.2_F5b","F5.2_F5b","ASV_708_F5.2_F5b","ASV_708","Environment"
"Fugacium","F5.2d_AJ291530|_F5.2d/F5ae_F5ak_99.6","F5.2d/F5ae","ASV_254_F5.2d/F5ae","ASV_254","Environment"
"Fugacium","F5.2c_AM748596_F5a_F5.2c","F5.2c_F5a","ASV_535_F5.2c_F5a","ASV_535","Environment"
"Fugacium","F5.2c_AM748596_F5a_F5.2c","99.6_F5.2c","ASV_275_99.6_F5.2c","ASV_275","Environment"
"clade_I",NA,"I4f","ASV_111_I4f","ASV_111","Environment"
"clade_I",NA,"I2f","ASV_459_I2f","ASV_459","Environment"
"clade_I",NA,"97.4_I2","ASV_852_97.4_I2","ASV_852","Environment"
"clade_J","J_LC503409_17OKTs6-04","98.5_J_LC503420","ASV_1135_98.5_J_LC503420","ASV_1135","Environment"
"clade_J","J_LC503409_17OKTs6-04","98.2_J_LC503420","ASV_433_98.2_J_LC503420","ASV_433","Environment"
"clade_J","J_LC503409_17OKTs6-04","98.2_J_LC503420","ASV_916_98.2_J_LC503420","ASV_916","Environment"
"clade_J","J_LC503420_17OKTs7-09","J_LC503420","ASV_147_J_LC503420","ASV_147","Environment"
"clade_J","J_LC503420_17OKTs7-09","99.6_J_LC503420","ASV_904_99.6_J_LC503420","ASV_904","Environment"
"clade_J",NA,"80.3_J_LC503420","ASV_834_80.3_J_LC503420","ASV_834","Environment"
"clade_J",NA,"79.6_J_LC503420","ASV_830_79.6_J_LC503420","ASV_830","Environment"
"clade_J",NA,"80.3_J_LC503420","ASV_875_80.3_J_LC503420","ASV_875","Environment"
"clade_J",NA,"79.6_J_LC503420","ASV_1000_79.6_J_LC503420","ASV_1000","Environment"
"clade_J",NA,"79.9_J_LC503420","ASV_1144_79.9_J_LC503420","ASV_1144","Environment"
"Miliolidium",NA,"85.7_M_D1.2","ASV_971_85.7_M_D1.2","ASV_971","Environment"
"Miliolidium","M_AM748617_D1.2","88_M_D1.2","ASV_1156_88_M_D1.2","ASV_1156","Environment"
"Symbiodinium","5627_A_id98.7_A5ac","98.7_A5ac","ASV_408_98.7_A5ac","ASV_408","Environment"
"Symbiodinium","5593_A_id98.7_A5ac","98.7_A5ac","ASV_396_98.7_A5ac","ASV_396","Environment"
"Symbiodinium","5596_A_id98.3_A5ac","98.3_A5ac","ASV_840_98.3_A5ac","ASV_840","Environment"
"Symbiodinium","5591_A_id80.5_A2w","98.7_A13i","ASV_74_98.7_A13i","ASV_74","Environment"
"Symbiodinium",NA,"98.7_A13i","ASV_102_98.7_A13i","ASV_102","Environment"
"Symbiodinium",NA,"A13i","ASV_158_A13i","ASV_158","Environment"
"Symbiodinium","5594_A_id79.7_A2w","99.6_A13i","ASV_738_99.6_A13i","ASV_738","Environment"
"Symbiodinium",NA,"97.4_A2w","ASV_432_97.4_A2w","ASV_432","Environment"
"Symbiodinium","A_EU106351|_A2w_97.4_A2s_96.6","97_A2w","ASV_144_97_A2w","ASV_144","Environment"
"Symbiodinium","A_EU106351|_A2w_97.4_A2s_96.6","97.4_A2w","ASV_56_97.4_A2w","ASV_56","Environment"
"Symbiodinium","A_EU106351|_A2w_97.4_A2s_96.6","97_A2w","ASV_155_97_A2w","ASV_155","Environment"
"Symbiodinium","5599_A_id89.4_A2i","97.5_A2q","ASV_116_97.5_A2q","ASV_116","Environment"
"Symbiodinium","A_EU106366","94.1_A2r","ASV_167_94.1_A2r","ASV_167","Environment"
"Symbiodinium","A_EU106366","93.4_A2r","ASV_407_93.4_A2r","ASV_407","Environment"
"Symbiodinium","A_EU106366","93.4_A2r","ASV_1091_93.4_A2r","ASV_1091","Environment"
"Symbiodinium","A_EU106366","92.9_A2r","ASV_784_92.9_A2r","ASV_784","Environment"
"Symbiodinium","5632_A_id97.0_A2e","97_A2e","ASV_476_97_A2e","ASV_476","Environment"
"Symbiodinium",NA,"A1","ASV_121_A1","ASV_121","Environment"
"Symbiodinium",NA,"A4at","ASV_184_A4at","ASV_184","Environment"
"Symbiodinium","5626_A_id98.7_A3df","98.7_A3df","ASV_188_98.7_A3df","ASV_188","Environment"
"Symbiodinium","A_AF184949|_A1er_A1ng_99.6","A1er","ASV_174_A1er","ASV_174","Environment"
"Symbiodinium",NA,"77.5_A2u","ASV_494_77.5_A2u","ASV_494","Environment"
"Symbiodinium",NA,"77.1_A2u","ASV_998_77.1_A2u","ASV_998","Environment"
"Symbiodinium",NA,"76.9_A1my","ASV_1039_76.9_A1my","ASV_1039","Environment"
"Symbiodinium",NA,"77.6_A2t","ASV_354_77.6_A2t","ASV_354","Environment"
"Symbiodinium",NA,"77.2_A2t","ASV_1164_77.2_A2t","ASV_1164","Environment"
"Symbiodinium",NA,"76.8_A2t","ASV_898_76.8_A2t","ASV_898","Environment"
"Symbiodinium",NA,"79.1_A1mw","ASV_487_79.1_A1mw","ASV_487","Environment"
"Symbiodinium",NA,"78.7_A1mw","ASV_1117_78.7_A1mw","ASV_1117","Environment"
"Symbiodinium","5765_A_id84.3_A1mr","99.6_A1di","ASV_729_99.6_A1di","ASV_729","Environment"
"Symbiodinium","5840_A_id84.3_A1mr","A1di","ASV_957_A1di","ASV_957","Environment"
"Cladocopium","C40c","94.7_C1jz","ASV_887_94.7_C1jz","ASV_887","Environment"
"Cladocopium",NA,"C50c","ASV_979_C50c","ASV_979","Environment"
"Cladocopium",NA,"99.6_C3mc","ASV_250_99.6_C3mc","ASV_250","Foraminifera"
"Cladocopium",NA,"98.9_C42au","ASV_287_98.9_C42au","ASV_287","Foraminifera"
"Cladocopium",NA,"C1w","ASV_181_C1w","ASV_181","Foraminifera"
"Cladocopium",NA,"99.6_C39ae","ASV_217_99.6_C39ae","ASV_217","Foraminifera"
"Cladocopium",NA,"97.8_C3gd","ASV_1080_97.8_C3gd","ASV_1080","Foraminifera"
"Cladocopium",NA,"98.7_C66au","ASV_768_98.7_C66au","ASV_768","Foraminifera"
"Cladocopium",NA,"98.9_C1pe_C1gc","ASV_279_98.9_C1pe_C1gc","ASV_279","Foraminifera"
"Freudenthalidium","5758_F_id98.9_F3m","98.9_F3m","ASV_478_98.9_F3m","ASV_478","Foraminifera"
"Freudenthalidium",NA,"85.5_F3.1_F3d_F3i","ASV_384_85.5_F3.1_F3d_F3i","ASV_384","Foraminifera"
"Freudenthalidium","6012_F_id92.2_F3.2","91.8_F3o","ASV_437_91.8_F3o","ASV_437","Foraminifera"
"Freudenthalidium","6012_F_id92.2_F3.2","91.8_F3o","ASV_508_91.8_F3o","ASV_508","Foraminifera"
"Freudenthalidium",NA,"88.8_F3.2_F3o","ASV_491_88.8_F3.2_F3o","ASV_491","Foraminifera"
"Freudenthalidium",NA,"89.3_F3o","ASV_603_89.3_F3o","ASV_603","Foraminifera"
"Freudenthalidium",NA,"86.3_F3o","ASV_1140_86.3_F3o","ASV_1140","Foraminifera"
"Freudenthalidium","6013_F_id84.7_F3.2","84.7_F3.2","ASV_485_84.7_F3.2","ASV_485","Foraminifera"
"Freudenthalidium","5892_F_id87.7_F3.2","87.3_F3.2","ASV_447_87.3_F3.2","ASV_447","Foraminifera"
"Freudenthalidium","5892_F_id87.7_F3.2","79.9_F3o","ASV_1058_79.9_F3o","ASV_1058","Foraminifera"
"Fugacium",NA,"91.6_F5x","ASV_461_91.6_F5x","ASV_461","Foraminifera"
"Fugacium",NA,"96.6_F5x","ASV_530_96.6_F5x","ASV_530","Foraminifera"
"Miliolidium","M_AM748617_D1.2","79.5_M_D1.2","ASV_502_79.5_M_D1.2","ASV_502","Foraminifera"
"Symbiodinium",NA,"99.6_A5ac","ASV_974_99.6_A5ac","ASV_974","Foraminifera"
"Cladocopium",NA,"95.4_C15lm","ASV_1001_95.4_C15lm","ASV_1001","Foraminifera"
"Cladocopium",NA,"98.9_C3gi","ASV_15_98.9_C3gi","ASV_15","Multicellular hosts"
"Durusdinium",NA,"D4l","ASV_119_D4l","ASV_119","Multicellular hosts"
"Durusdinium","D_EU074897_D6c_D6n_99.6","95.1_D3h","ASV_612_95.1_D3h","ASV_612","Multicellular hosts"
"Symbiodinium","A6_AY686646|_A6_A6n_99.6","A6","ASV_6_A6","ASV_6","Multicellular hosts"
"Symbiodinium",NA,"A3","ASV_7_A3","ASV_7","Multicellular hosts"
"Cladocopium",NA,"96.9_C1jz","ASV_642_96.9_C1jz","ASV_642","Multicellular hosts"
"Cladocopium","C22z","C22z","ASV_359_C22z","ASV_359","Multicellular hosts"
"Cladocopium",NA,"C15gk_C15em","ASV_529_C15gk_C15em","ASV_529","Multicellular hosts"
"Cladocopium",NA,"95.5_C15ea","ASV_894_95.5_C15ea","ASV_894","Multicellular hosts"
