"Comparison","F","R²","p","p (FDR)","Sig (FDR)"
"Algae_vs_Stichodactyla",3.637,0.342,0.095,0.114,"-"
"Algae_vs_Porites",43.624,0.799,0.001,0.00212,"**"
"Algae_vs_Goniastrea",39.476,0.725,0.001,0.00212,"**"
"Algae_vs_Montipora",3.722,0.347,0.092,0.114,"-"
"Algae_vs_Amphisorus",19.873,0.511,0.001,0.00212,"**"
"Algae_vs_Sorites",5.873,0.329,0.001,0.00212,"**"
"Algae_vs_Sediment",0.604,0.044,0.652,0.652,"-"
"Algae_vs_Water",31.511,0.708,0.001,0.00212,"**"
"Stichodactyla_vs_Porites",31.685,0.841,0.037,0.0533,"."
"Stichodactyla_vs_Goniastrea",14.904,0.598,0.056,0.0775,"."
"Stichodactyla_vs_Montipora",2357.388,0.999,0.333,0.353,"-"
"Stichodactyla_vs_Amphisorus",1.248,0.082,0.512,0.527,"-"
"Stichodactyla_vs_Sorites",1.22,0.148,0.243,0.265,"-"
"Stichodactyla_vs_Sediment",2.275,0.221,0.093,0.114,"-"
"Stichodactyla_vs_Water",35.556,0.816,0.026,0.0425,"*"
"Porites_vs_Goniastrea",46.933,0.77,0.002,0.00379,"**"
"Porites_vs_Montipora",31.829,0.841,0.033,0.0495,"*"
"Porites_vs_Amphisorus",122.849,0.872,0.001,0.00212,"**"
"Porites_vs_Sorites",35.121,0.761,0.004,0.0072,"**"
"Porites_vs_Sediment",33.66,0.737,0.001,0.00212,"**"
"Porites_vs_Water",25.914,0.683,0.002,0.00379,"**"
"Goniastrea_vs_Montipora",15.001,0.6,0.032,0.0495,"*"
"Goniastrea_vs_Amphisorus",79.444,0.783,0.001,0.00212,"**"
"Goniastrea_vs_Sorites",21.606,0.59,0.001,0.00212,"**"
"Goniastrea_vs_Sediment",34.631,0.684,0.001,0.00212,"**"
"Goniastrea_vs_Water",46.034,0.742,0.001,0.00212,"**"
"Montipora_vs_Amphisorus",1.318,0.086,0.148,0.172,"-"
"Montipora_vs_Sorites",1.261,0.153,0.221,0.249,"-"
"Montipora_vs_Sediment",2.326,0.225,0.081,0.108,"-"
"Montipora_vs_Water",35.78,0.817,0.019,0.0326,"*"
"Amphisorus_vs_Sorites",8.617,0.312,0.001,0.00212,"**"
"Amphisorus_vs_Sediment",16.112,0.446,0.001,0.00212,"**"
"Amphisorus_vs_Water",131.402,0.868,0.001,0.00212,"**"
"Sorites_vs_Sediment",5.093,0.281,0.001,0.00212,"**"
"Sorites_vs_Water",38.189,0.746,0.001,0.00212,"**"
"Sediment_vs_Water",24.859,0.64,0.001,0.00212,"**"
