"Measure","Dataset","KW_p","group1","group2","p.adj","KW_sig","Wilcox_sig"
"Chao1","Filtered","1.1e-10","Foraminifera","Environment","3.7e-07","***","***"
"Chao1","Filtered","1.1e-10","Multicellular hosts","Environment","1.6e-09","***","***"
"Chao1","Filtered","1.1e-10","Multicellular hosts","Foraminifera","0.061","***","ns"
"Chao1","Pre_lulu","1.1e-05","Foraminifera","Environment","8.5e-05","***","***"
"Chao1","Pre_lulu","1.1e-05","Multicellular hosts","Environment","6.3e-04","***","***"
"Chao1","Pre_lulu","1.1e-05","Multicellular hosts","Foraminifera","0.025","***","*"
"Chao1","Unfiltered","6.0e-11","Foraminifera","Environment","1.4e-07","***","***"
"Chao1","Unfiltered","6.0e-11","Multicellular hosts","Environment","1.6e-09","***","***"
"Chao1","Unfiltered","6.0e-11","Multicellular hosts","Foraminifera","0.046","***","*"
"FaithPD","Filtered","9.1e-11","Foraminifera","Environment","3.6e-08","***","***"
"FaithPD","Filtered","9.1e-11","Multicellular hosts","Environment","2.4e-09","***","***"
"FaithPD","Filtered","9.1e-11","Multicellular hosts","Foraminifera","0.594","***","ns"
"FaithPD","Pre_lulu","1.0e-10","Foraminifera","Environment","2.8e-11","***","***"
"FaithPD","Pre_lulu","1.0e-10","Multicellular hosts","Environment","1.7e-14","***","***"
"FaithPD","Pre_lulu","1.0e-10","Multicellular hosts","Foraminifera","0.612","***","ns"
"FaithPD","Unfiltered","1.0e-10","Foraminifera","Environment","4.2e-08","***","***"
"FaithPD","Unfiltered","1.0e-10","Multicellular hosts","Environment","2.4e-09","***","***"
"FaithPD","Unfiltered","1.0e-10","Multicellular hosts","Foraminifera","0.595","***","ns"
"Shannon","Filtered","9.6e-09","Foraminifera","Environment","1.2e-06","***","***"
"Shannon","Filtered","9.6e-09","Multicellular hosts","Environment","9.7e-08","***","***"
"Shannon","Filtered","9.6e-09","Multicellular hosts","Foraminifera","0.992","***","ns"
"Shannon","Pre_lulu","2.7e-08","Foraminifera","Environment","6.8e-08","***","***"
"Shannon","Pre_lulu","2.7e-08","Multicellular hosts","Environment","3.0e-06","***","***"
"Shannon","Pre_lulu","2.7e-08","Multicellular hosts","Foraminifera","0.002","***","**"
"Shannon","Unfiltered","8.4e-09","Foraminifera","Environment","1.2e-06","***","***"
"Shannon","Unfiltered","8.4e-09","Multicellular hosts","Environment","7.9e-08","***","***"
"Shannon","Unfiltered","8.4e-09","Multicellular hosts","Foraminifera","1","***","ns"
"Simpson","Filtered","2.3e-07","Foraminifera","Environment","9.3e-06","***","***"
"Simpson","Filtered","2.3e-07","Multicellular hosts","Environment","1.6e-06","***","***"
"Simpson","Filtered","2.3e-07","Multicellular hosts","Foraminifera","0.851","***","ns"
"Simpson","Pre_lulu","2.9e-07","Foraminifera","Environment","7.3e-07","***","***"
"Simpson","Pre_lulu","2.9e-07","Multicellular hosts","Environment","3.0e-06","***","***"
"Simpson","Pre_lulu","2.9e-07","Multicellular hosts","Foraminifera","0.046","***","*"
"Simpson","Unfiltered","2.3e-07","Foraminifera","Environment","9.4e-06","***","***"
"Simpson","Unfiltered","2.3e-07","Multicellular hosts","Environment","1.6e-06","***","***"
"Simpson","Unfiltered","2.3e-07","Multicellular hosts","Foraminifera","0.875","***","ns"
