"Measure","Dataset_comparison","median_change","Wilcox_p_adj","Wilcox_p_sig"
"Chao1","Pre_lulu → Unfiltered","-70","3.3e-13","****"
"Chao1","Unfiltered → Filtered"," 0.0e+00","1.1e-05","****"
"Chao1","Pre_lulu → Pre_lulu_Rarefied"," 0.0e+00","0.024","*"
"Chao1","Unfiltered → Unfiltered_Rarefied"," 0.0e+00","0.001","**"
"Chao1","Filtered → Filtered_Rarefied"," 0.0e+00","0.518","ns"
"FaithPD","Pre_lulu → Unfiltered","3.95","1.3e-07","****"
"FaithPD","Unfiltered → Filtered","3.15","0.145","ns"
"FaithPD","Pre_lulu → Pre_lulu_Rarefied"," 0.0e+00","0.004","**"
"FaithPD","Unfiltered → Unfiltered_Rarefied"," 0.0e+00","4.3e-04","***"
"FaithPD","Filtered → Filtered_Rarefied"," 0.0e+00","0.014","*"
"Shannon","Pre_lulu → Unfiltered","-52.3","3.4e-13","****"
"Shannon","Unfiltered → Filtered"," 0.0e+00","1.3e-05","****"
"Shannon","Pre_lulu → Pre_lulu_Rarefied"," 0.0e+00","0.36","ns"
"Shannon","Unfiltered → Unfiltered_Rarefied","-0.4","0.36","ns"
"Shannon","Filtered → Filtered_Rarefied","0.0986","0.547","ns"
"Simpson","Pre_lulu → Unfiltered","-41.4","3.4e-13","****"
"Simpson","Unfiltered → Filtered"," 0.0e+00","1.3e-05","****"
"Simpson","Pre_lulu → Pre_lulu_Rarefied","0.132","0.768","ns"
"Simpson","Unfiltered → Unfiltered_Rarefied","-0.528","0.579","ns"
"Simpson","Filtered → Filtered_Rarefied","0.117","0.579","ns"
