Measure,Dataset_comparison,median_change,Wilcox_p_adj,Wilcox_p_sig,Pipeline
Chao1,Pre_lulu -> Unfiltered,-70,3.30E-13,****,DADA2
Chao1,Unfiltered -> Filtered,0.00E+00,1.10E-05,****,DADA3
Chao1,Pre_lulu -> Pre_lulu_Rarefied,0.00E+00,0.024,*,DADA4
Chao1,Unfiltered -> Unfiltered_Rarefied,0.00E+00,0.001,**,DADA5
Chao1,Filtered -> Filtered_Rarefied,0.00E+00,0.518,ns,DADA6
FaithPD,Pre_lulu -> Unfiltered,3.95,1.30E-07,****,DADA7
FaithPD,Unfiltered -> Filtered,3.15,0.145,ns,DADA8
FaithPD,Pre_lulu -> Pre_lulu_Rarefied,0.00E+00,0.004,**,DADA9
FaithPD,Unfiltered -> Unfiltered_Rarefied,0.00E+00,4.30E-04,***,DADA10
FaithPD,Filtered -> Filtered_Rarefied,0.00E+00,0.014,*,DADA11
Shannon,Pre_lulu -> Unfiltered,-52.3,3.40E-13,****,DADA12
Shannon,Unfiltered -> Filtered,0.00E+00,1.30E-05,****,DADA13
Shannon,Pre_lulu -> Pre_lulu_Rarefied,0.00E+00,0.36,ns,DADA14
Shannon,Unfiltered -> Unfiltered_Rarefied,-0.4,0.36,ns,DADA15
Shannon,Filtered -> Filtered_Rarefied,0.0986,0.547,ns,DADA16
Simpson,Pre_lulu -> Unfiltered,-41.4,3.40E-13,****,DADA17
Simpson,Unfiltered -> Filtered,0.00E+00,1.30E-05,****,DADA18
Simpson,Pre_lulu -> Pre_lulu_Rarefied,0.132,0.768,ns,DADA19
Simpson,Unfiltered -> Unfiltered_Rarefied,-0.528,0.579,ns,DADA20
Simpson,Filtered -> Filtered_Rarefied,0.117,0.579,ns,DADA21
Chao1,Unfiltered -> Filtered,-5.63,2.30E-09,****,SymPortal
Chao1,Unfiltered -> Unfiltered_Rarefied,0.00E+00,0.001,**,SymPortal
Chao1,Filtered -> Filtered_Rarefied,0.00E+00,0.011,*,SymPortal
FaithPD,Unfiltered -> Filtered,-10.5,5.30E-13,****,SymPortal
FaithPD,Unfiltered -> Unfiltered_Rarefied,0.00E+00,7.30E-09,****,SymPortal
FaithPD,Filtered -> Filtered_Rarefied,0.00E+00,1.80E-05,****,SymPortal
Shannon,Unfiltered -> Filtered,-0.0879,2.50E-09,****,SymPortal
Shannon,Unfiltered -> Unfiltered_Rarefied,-0.408,0.056,ns,SymPortal
Shannon,Filtered -> Filtered_Rarefied,-0.508,0.056,ns,SymPortal
Simpson,Unfiltered -> Filtered,-0.0245,2.50E-09,****,SymPortal
Simpson,Unfiltered -> Unfiltered_Rarefied,-0.0583,0.635,ns,SymPortal
Simpson,Filtered -> Filtered_Rarefied,-0.226,0.635,ns,SymPortal
