file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
A1_1_ITS2_S180_run1_2_R1_001.fastq.gz	FASTQ	DNA	231729	69698708	49	300.8	301
A1_1_ITS2_S180_run1_2_R2_001.fastq.gz	FASTQ	DNA	231729	69714696	49	300.8	301
A1_2_ITS2_S182_run1_2_R1_001.fastq.gz	FASTQ	DNA	239843	72097943	49	300.6	301
A1_2_ITS2_S182_run1_2_R2_001.fastq.gz	FASTQ	DNA	239843	72143176	49	300.8	301
A1_5_ITS2_S184_run1_2_R1_001.fastq.gz	FASTQ	DNA	252487	75951472	46	300.8	301
A1_5_ITS2_S184_run1_2_R2_001.fastq.gz	FASTQ	DNA	252487	75965435	46	300.9	301
A1_6_ITS2_S186_run1_2_R1_001.fastq.gz	FASTQ	DNA	210891	63420748	51	300.7	301
A1_6_ITS2_S186_run1_2_R2_001.fastq.gz	FASTQ	DNA	210891	63448403	51	300.9	301
A2_2_ITS2_S192_run1_2_R1_001.fastq.gz	FASTQ	DNA	241994	72723020	47	300.5	301
A2_2_ITS2_S192_run1_2_R2_001.fastq.gz	FASTQ	DNA	241994	72766160	47	300.7	301
A2_5_ITS2_S188_run1_2_R1_001.fastq.gz	FASTQ	DNA	249187	74937848	51	300.7	301
A2_5_ITS2_S188_run1_2_R2_001.fastq.gz	FASTQ	DNA	249187	74965529	51	300.8	301
A2_6_ITS2_S190_run1_2_R1_001.fastq.gz	FASTQ	DNA	238770	71814125	46	300.8	301
A2_6_ITS2_S190_run1_2_R2_001.fastq.gz	FASTQ	DNA	238770	71827777	46	300.8	301
A2_7_ITS2_S194_run1_2_R1_001.fastq.gz	FASTQ	DNA	249383	74995532	51	300.7	301
A2_7_ITS2_S194_run1_2_R2_001.fastq.gz	FASTQ	DNA	249383	75009419	51	300.8	301
An1_ITS2_S125_run1_2_R1_001.fastq.gz	FASTQ	DNA	112600	33788333	49	300.1	301
An1_ITS2_S125_run1_2_R2_001.fastq.gz	FASTQ	DNA	112600	33818328	49	300.3	301
An2_ITS2_S126_run1_2_R1_001.fastq.gz	FASTQ	DNA	113641	34117518	51	300.2	301
An2_ITS2_S126_run1_2_R2_001.fastq.gz	FASTQ	DNA	113641	34151665	51	300.5	301
C1_12_corr_ITS2_S112_run1_2_R1_001.fastq.gz	FASTQ	DNA	122026	36677984	45	300.6	301
C1_12_corr_ITS2_S112_run1_2_R2_001.fastq.gz	FASTQ	DNA	122026	36700418	45	300.8	301
