file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
A1-1a1-ITS2_S179_L001_R1_001.fastq.gz	FASTQ	DNA	18872	5282290	79	279.9	294
A1-1a1-ITS2_S179_L001_R2_001.fastq.gz	FASTQ	DNA	18872	5005640	85	265.2	286
A1-1a2-ITS2_S180_L001_R1_001.fastq.gz	FASTQ	DNA	13556	3793312	79	279.8	293
A1-1a2-ITS2_S180_L001_R2_001.fastq.gz	FASTQ	DNA	13556	3543149	82	261.4	294
A1-2a1-ITS2_S181_L001_R1_001.fastq.gz	FASTQ	DNA	24882	6980302	79	280.5	298
A1-2a1-ITS2_S181_L001_R2_001.fastq.gz	FASTQ	DNA	24882	6668458	82	268.0	284
A1-2a2-ITS2_S182_L001_R1_001.fastq.gz	FASTQ	DNA	26435	7413232	112	280.4	298
A1-2a2-ITS2_S182_L001_R2_001.fastq.gz	FASTQ	DNA	26435	7070832	161	267.5	297
A1-5a1-ITS2_S183_L001_R1_001.fastq.gz	FASTQ	DNA	23182	6487175	79	279.8	298
A1-5a1-ITS2_S183_L001_R2_001.fastq.gz	FASTQ	DNA	23182	6172624	82	266.3	285
A1-5a2-ITS2_S184_L001_R1_001.fastq.gz	FASTQ	DNA	24767	6933842	75	280.0	298
A1-5a2-ITS2_S184_L001_R2_001.fastq.gz	FASTQ	DNA	24767	6601150	75	266.5	289
A1-6a1-ITS2_S185_L001_R1_001.fastq.gz	FASTQ	DNA	12326	3448130	78	279.7	292
A1-6a1-ITS2_S185_L001_R2_001.fastq.gz	FASTQ	DNA	12326	3279066	82	266.0	285
A1-6a2-ITS2_S186_L001_R1_001.fastq.gz	FASTQ	DNA	19630	5494661	79	279.9	291
A1-6a2-ITS2_S186_L001_R2_001.fastq.gz	FASTQ	DNA	19630	5231923	82	266.5	283
A2-2a5-ITS2_S191_L001_R1_001.fastq.gz	FASTQ	DNA	27645	7766331	265	280.9	292
A2-2a5-ITS2_S191_L001_R2_001.fastq.gz	FASTQ	DNA	27645	7375273	214	266.8	286
A2-2a6-ITS2_S192_L001_R1_001.fastq.gz	FASTQ	DNA	24014	6747166	243	281.0	298
A2-2a6-ITS2_S192_L001_R2_001.fastq.gz	FASTQ	DNA	24014	6468132	215	269.3	285
A2-5a3-ITS2_S187_L001_R1_001.fastq.gz	FASTQ	DNA	20656	5778474	101	279.7	298
A2-5a3-ITS2_S187_L001_R2_001.fastq.gz	FASTQ	DNA	20656	5518857	101	267.2	287
A2-5a4-ITS2_S188_L001_R1_001.fastq.gz	FASTQ	DNA	20521	5731559	78	279.3	298
A2-5a4-ITS2_S188_L001_R2_001.fastq.gz	FASTQ	DNA	20521	5399498	78	263.1	284
A2-6a3-ITS2_S189_L001_R1_001.fastq.gz	FASTQ	DNA	19890	5533285	86	278.2	294
A2-6a3-ITS2_S189_L001_R2_001.fastq.gz	FASTQ	DNA	19890	5272291	86	265.1	283
A2-6a4-ITS2_S190_L001_R1_001.fastq.gz	FASTQ	DNA	23307	6524547	64	279.9	292
A2-6a4-ITS2_S190_L001_R2_001.fastq.gz	FASTQ	DNA	23307	6206431	64	266.3	282
A2-7a3-ITS2_S193_L001_R1_001.fastq.gz	FASTQ	DNA	24615	6859434	78	278.7	298
A2-7a3-ITS2_S193_L001_R2_001.fastq.gz	FASTQ	DNA	24615	6543218	78	265.8	285
A2-7a4-ITS2_S194_L001_R1_001.fastq.gz	FASTQ	DNA	18312	5111592	78	279.1	287
A2-7a4-ITS2_S194_L001_R2_001.fastq.gz	FASTQ	DNA	18312	4847232	78	264.7	283
An1-ITS2_S125_L001_R1_001.fastq.gz	FASTQ	DNA	23446	6543382	62	279.1	298
An1-ITS2_S125_L001_R2_001.fastq.gz	FASTQ	DNA	23446	6263603	62	267.2	289
An2-ITS2_S126_L001_R1_001.fastq.gz	FASTQ	DNA	27006	7547007	62	279.5	298
An2-ITS2_S126_L001_R2_001.fastq.gz	FASTQ	DNA	27006	7206947	62	266.9	297
C1-1-ITS2_S107_L001_R1_001.fastq.gz	FASTQ	DNA	35154	9868680	259	280.7	298
C1-1-ITS2_S107_L001_R2_001.fastq.gz	FASTQ	DNA	35154	9408574	194	267.6	289
C1-12-corr-ITS2_S112_L001_R1_001.fastq.gz	FASTQ	DNA	30320	8518271	128	280.9	298
C1-12-corr-ITS2_S112_L001_R2_001.fastq.gz	FASTQ	DNA	30320	8139520	128	268.5	285
C1-14-ITS2_S111_L001_R1_001.fastq.gz	FASTQ	DNA	22889	6425970	270	280.7	298
C1-14-ITS2_S111_L001_R2_001.fastq.gz	FASTQ	DNA	22889	6122363	215	267.5	286
C1-2-corr-ITS2_S114_L001_R1_001.fastq.gz	FASTQ	DNA	25121	7056183	239	280.9	292
C1-2-corr-ITS2_S114_L001_R2_001.fastq.gz	FASTQ	DNA	25121	6656398	215	265.0	289
C1-3-ITS2_S108_L001_R1_001.fastq.gz	FASTQ	DNA	32418	9108203	166	281.0	298
C1-3-ITS2_S108_L001_R2_001.fastq.gz	FASTQ	DNA	32418	8670894	166	267.5	297
C1-5-ITS2_S109_L001_R1_001.fastq.gz	FASTQ	DNA	29379	8247447	270	280.7	298
C1-5-ITS2_S109_L001_R2_001.fastq.gz	FASTQ	DNA	29379	7874381	215	268.0	297
C1-6-ITS2_S113_L001_R1_001.fastq.gz	FASTQ	DNA	30520	8571655	233	280.9	298
C1-6-ITS2_S113_L001_R2_001.fastq.gz	FASTQ	DNA	30520	8194579	215	268.5	290
C1-9-ITS2_S110_L001_R1_001.fastq.gz	FASTQ	DNA	12580	3531407	270	280.7	298
C1-9-ITS2_S110_L001_R2_001.fastq.gz	FASTQ	DNA	12580	3404378	214	270.6	285
C2-1-ITS2_S115_L001_R1_001.fastq.gz	FASTQ	DNA	28057	7883179	265	281.0	292
C2-1-ITS2_S115_L001_R2_001.fastq.gz	FASTQ	DNA	28057	7502231	215	267.4	286
C2-14b-ITS2_S121_L001_R1_001.fastq.gz	FASTQ	DNA	22662	6361888	270	280.7	298
C2-14b-ITS2_S121_L001_R2_001.fastq.gz	FASTQ	DNA	22662	6097035	216	269.0	296
C2-16-ITS2_S122_L001_R1_001.fastq.gz	FASTQ	DNA	19788	5553833	270	280.7	298
C2-16-ITS2_S122_L001_R2_001.fastq.gz	FASTQ	DNA	19788	5321205	215	268.9	289
C2-18-ITS2_S123_L001_R1_001.fastq.gz	FASTQ	DNA	26796	7522080	270	280.7	298
C2-18-ITS2_S123_L001_R2_001.fastq.gz	FASTQ	DNA	26796	7182889	215	268.1	297
C2-19-ITS2_S124_L001_R1_001.fastq.gz	FASTQ	DNA	19704	5530981	269	280.7	298
C2-19-ITS2_S124_L001_R2_001.fastq.gz	FASTQ	DNA	19704	5281667	215	268.1	284
C2-2-ITS2_S120_L001_R1_001.fastq.gz	FASTQ	DNA	24106	6766577	170	280.7	298
C2-2-ITS2_S120_L001_R2_001.fastq.gz	FASTQ	DNA	24106	6452061	170	267.7	297
C2-3-ITS2_S116_L001_R1_001.fastq.gz	FASTQ	DNA	18361	5158941	263	281.0	298
C2-3-ITS2_S116_L001_R2_001.fastq.gz	FASTQ	DNA	18361	4946425	215	269.4	287
C2-6-ITS2_S117_L001_R1_001.fastq.gz	FASTQ	DNA	27575	7745529	238	280.9	298
C2-6-ITS2_S117_L001_R2_001.fastq.gz	FASTQ	DNA	27575	7388068	216	267.9	296
C2-7-ITS2_S118_L001_R1_001.fastq.gz	FASTQ	DNA	31434	8827894	186	280.8	298
C2-7-ITS2_S118_L001_R2_001.fastq.gz	FASTQ	DNA	31434	8428550	186	268.1	287
