				host_info if applicable						sampling info if applicable				Please place any additional columns you wish to add to the right of 'collection_depth'						
sample_name	fastq_fwd_file_name	fastq_rev_file_name	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	site	type	sample_code				
Algae1-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_1_ITS2_S180_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_1_ITS2_S180_run1_2_R2_001.fastq.gz												1	Algae	A1-1				
Algae1-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_2_ITS2_S182_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_2_ITS2_S182_run1_2_R2_001.fastq.gz												1	Algae	A1-2				
Algae1-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_5_ITS2_S184_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_5_ITS2_S184_run1_2_R2_001.fastq.gz												1	Algae	A1-5				
Algae1-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_6_ITS2_S186_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A1_6_ITS2_S186_run1_2_R2_001.fastq.gz												1	Algae	A1-6				
Algae2-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_2_ITS2_S192_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_2_ITS2_S192_run1_2_R2_001.fastq.gz												2	Algae	A2-2				
Algae2-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_5_ITS2_S188_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_5_ITS2_S188_run1_2_R2_001.fastq.gz												2	Algae	A2-5				
Algae2-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_6_ITS2_S190_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_6_ITS2_S190_run1_2_R2_001.fastq.gz												2	Algae	A2-6				
Algae2-7	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_7_ITS2_S194_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/A2_7_ITS2_S194_run1_2_R2_001.fastq.gz												2	Algae	A2-7				
Stichodactyla1-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/An1_ITS2_S125_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/An1_ITS2_S125_run1_2_R2_001.fastq.gz												1	Stichodactyla	An1-1				
Stichodactyla1-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/An2_ITS2_S126_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/An2_ITS2_S126_run1_2_R2_001.fastq.gz												1	Stichodactyla	An2-2				
Porites1-12	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_12_corr_ITS2_S112_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_12_corr_ITS2_S112_run1_2_R2_001.fastq.gz												1	Porites	C1-12				
Goniastrea1-14	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_14_ITS2_S111_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_14_ITS2_S111_run1_2_R2_001.fastq.gz												1	Goniastrea	C1-14				
Goniastrea1-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_1_ITS2_S107_run1_2_3_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_1_ITS2_S107_run1_2_3_R2_001.fastq.gz												1	Goniastrea	C1-1				
Montipora1-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_2_corr_ITS2_S114_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_2_corr_ITS2_S114_run1_2_R2_001.fastq.gz												1	Montipora	C1-2				
Goniastrea1-3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_3_ITS2_S108_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_3_ITS2_S108_run1_2_R2_001.fastq.gz												1	Goniastrea	C1-3				
Goniastrea1-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_5_ITS2_S109_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_5_ITS2_S109_run1_2_R2_001.fastq.gz												1	Goniastrea	C1-5				
Porites1-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_6_ITS2_S113_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_6_ITS2_S113_run1_2_R2_001.fastq.gz												1	Porites	C1-6				
Goniastrea1-9	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_9_ITS2_S110_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C1_9_ITS2_S110_run1_2_R2_001.fastq.gz												1	Goniastrea	C1-9				
Goniastrea2-14	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_14b_ITS2_S121_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_14b_ITS2_S121_run1_2_R2_001.fastq.gz												2	Goniastrea	C2-14				
Goniastrea2-16	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_16_ITS2_S122_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_16_ITS2_S122_run1_2_R2_001.fastq.gz												2	Goniastrea	C2-16				
Goniastrea2-18	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_18_ITS2_S123_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_18_ITS2_S123_run1_2_R2_001.fastq.gz												2	Goniastrea	C2-18				
Goniastrea2-19	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_19_ITS2_S124_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_19_ITS2_S124_run1_2_R2_001.fastq.gz												2	Goniastrea	C2-19				
Porites2-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_1_ITS2_S115_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_1_ITS2_S115_run1_2_R2_001.fastq.gz												2	Porites	C2-1				
Goniastrea2-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_2_ITS2_S120_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_2_ITS2_S120_run1_2_R2_001.fastq.gz												2	Goniastrea	C2-2				
Porites2-3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_3_ITS2_S116_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_3_ITS2_S116_run1_2_R2_001.fastq.gz												2	Porites	C2-3				
Montipora2-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_6_ITS2_S117_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_6_ITS2_S117_run1_2_R2_001.fastq.gz												2	Montipora	C2-6				
Porites2-7	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_7_ITS2_S118_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_7_ITS2_S118_run1_2_R2_001.fastq.gz												2	Porites	C2-7				
Porites2-9	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_9_ITS2_S119_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/C2_9_ITS2_S119_run1_2_R2_001.fastq.gz												2	Porites	C2-9				
Amphisorus1-10	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_10_ITS2_S141_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_10_ITS2_S141_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-10				
Sorites1-12	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_12_ITS2_S149_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_12_ITS2_S149_run1_2_R2_001.fastq.gz												1	Sorites	F1-12				
Sorites1-13	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_13_ITS2_S150_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_13_ITS2_S150_run1_2_R2_001.fastq.gz												1	Sorites	F1-13				
Sorites1-14	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_14_ITS2_S151_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_14_ITS2_S151_run1_2_R2_001.fastq.gz												1	Sorites	F1-14				
Amphisorus1-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_2_ITS2_S136_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_2_ITS2_S136_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-2				
Amphisorus1-3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_3_ITS2_S137_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_3_ITS2_S137_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-3				
Amphisorus1-4	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_4_ITS2_S138_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_4_ITS2_S138_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-4				
Amphisorus1-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_5_ITS2_S139_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_5_ITS2_S139_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-5				
Amphisorus1-7	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_7_ITS2_S140_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_7_ITS2_S140_run1_2_R2_001.fastq.gz												1	Amphisorus	F1-7				
Sorites1-9	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_9_ITS2_S148_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F1_9_ITS2_S148_run1_2_R2_001.fastq.gz												1	Sorites	F1-9				
Amphisorus2-1	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_1_ITS2_S142_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_1_ITS2_S142_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-1				
Sorites2-21	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_21_ITS2_S152_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_21_ITS2_S152_run1_2_R2_001.fastq.gz												2	Sorites	F2-21				
Sorites2-22	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_22_ITS2_S153_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_22_ITS2_S153_run1_2_R2_001.fastq.gz												2	Sorites	F2-22				
Sorites2-29	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_29_ITS2_S154_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_29_ITS2_S154_run1_2_R2_001.fastq.gz												2	Sorites	F2-29				
Amphisorus2-2	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_2_ITS2_S143_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_2_ITS2_S143_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-2				
Amphisorus2-30	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_30_ITS2_S146_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_30_ITS2_S146_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-30				
Amphisorus2-31	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_31_ITS2_S147_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_31_ITS2_S147_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-31				
Amphisorus2-3	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_3_ITS2_S144_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_3_ITS2_S144_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-3				
Amphisorus2-4	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_4_ITS2_S145_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_4_ITS2_S145_run1_2_R2_001.fastq.gz												2	Amphisorus	F2-4				
Amphisorus2-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_5_S72_L001_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_5_S72_L001_R2_001.fastq.gz												2	Amphisorus	F2-5				
Amphisorus2-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_6_S73_L001_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/F2_6_S73_L001_R2_001.fastq.gz												2	Amphisorus	F2-6				
Sediment1-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_5_ITS2_S156_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_5_ITS2_S156_run1_2_R2_001.fastq.gz												1	Sediment	S1-5				
Sediment1-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_6_ITS2_S158_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_6_ITS2_S158_run1_2_R2_001.fastq.gz												1	Sediment	S1-6				
Sediment1-7	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_7_ITS2_S160_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_7_ITS2_S160_run1_2_R2_001.fastq.gz												1	Sediment	S1-7				
Sediment1-8	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_8_ITS2_S162_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S1_8_ITS2_S162_run1_2_R2_001.fastq.gz												1	Sediment	S1-8				
Sediment2-4	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_4_ITS2_S164_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_4_ITS2_S164_run1_2_R2_001.fastq.gz												2	Sediment	S2-4				
Sediment2-5	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_5_ITS2_S166_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_5_ITS2_S166_run1_2_R2_001.fastq.gz												2	Sediment	S2-5				
Sediment2-6	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_6_ITS2_S168_run1_2_R1_001.fastq.gz	/flash/HusnikU/Vera/Symbiodiniaceae/concat/S2_6_ITS2_S168_run1_2_R2_001.fastq.gz												2	Sediment	S2-6				
