"Genus","Species","ASV","Intersection"
"clade C","C3sa","C3sa","Environment/Foraminifera/Multicellular hosts"
"clade C","C3ju","C3ju","Environment/Foraminifera/Multicellular hosts"
"clade C","C1al","C1al","Environment/Foraminifera/Multicellular hosts"
"clade C","C1jx","C1jx","Environment/Foraminifera/Multicellular hosts"
"clade D","D1","D1","Environment/Foraminifera/Multicellular hosts"
"clade D","D1c","D1c","Environment/Foraminifera/Multicellular hosts"
"clade D","D4","D4","Environment/Foraminifera/Multicellular hosts"
"clade C","C3","C3","Environment/Foraminifera/Multicellular hosts"
"clade C","C1b","C1b","Environment/Foraminifera/Multicellular hosts"
"clade C","C1bh","C1bh","Environment/Foraminifera/Multicellular hosts"
"clade C","C1c","C1c","Environment/Foraminifera/Multicellular hosts"
"clade C","C1","C1","Environment/Foraminifera/Multicellular hosts"
"clade C","5610_C","5610_C","Environment/Foraminifera/Multicellular hosts"
"clade C","C1w","C1w","Environment/Foraminifera/Multicellular hosts"
"clade C","C41","C41","Environment/Foraminifera/Multicellular hosts"
"clade C","C1ae","C1ae","Environment/Foraminifera/Multicellular hosts"
"clade C","C39","C39","Environment/Foraminifera/Multicellular hosts"
"clade C","C72k","C72k","Environment/Foraminifera/Multicellular hosts"
"clade C","5579_C","5579_C","Environment/Foraminifera/Multicellular hosts"
"clade C","C1g","C1g","Environment/Foraminifera/Multicellular hosts"
"clade C","5582_C","5582_C","Environment/Foraminifera/Multicellular hosts"
"clade C","5578_C","5578_C","Environment/Foraminifera/Multicellular hosts"
"clade C","5752_C","5752_C","Environment/Foraminifera/Multicellular hosts"
"clade C","C1t","C1t","Environment/Foraminifera/Multicellular hosts"
"clade C","C42.2","C42.2","Environment/Foraminifera/Multicellular hosts"
"clade C","C1ai","C1ai","Environment/Foraminifera/Multicellular hosts"
"clade C","C3ew","C3ew","Environment/Foraminifera/Multicellular hosts"
"clade C","C4a","C4a","Environment/Foraminifera/Multicellular hosts"
"clade C","C3co","C3co","Environment/Foraminifera"
"clade C","C1av","C1av","Environment/Foraminifera"
"clade C","5583_C","5583_C","Environment/Foraminifera"
"clade C","5580_C","5580_C","Environment/Foraminifera"
"clade F","5645_F","5645_F","Environment/Foraminifera"
"clade F","F3w","F3w","Environment/Foraminifera"
"clade F","5644_F","5644_F","Environment/Foraminifera"
"clade F","5643_F","5643_F","Environment/Foraminifera"
"clade F","5647_F","5647_F","Environment/Foraminifera"
"clade F","5621_F","5621_F","Environment/Foraminifera"
"clade F","5588_F","5588_F","Environment/Foraminifera"
"clade A","5603_A","5603_A","Environment/Foraminifera"
"clade A","A5a","A5a","Environment/Foraminifera"
"clade A","5624_A","5624_A","Environment/Foraminifera"
"clade F","5800_F","5800_F","Environment/Foraminifera"
"clade F","F5.1","F5.1","Environment/Foraminifera"
"clade F","F5.1a/F5u","F5.1a/F5u","Environment/Foraminifera"
"clade F","F5c","F5c","Environment/Foraminifera"
"clade F","5803_F","5803_F","Environment/Foraminifera"
"clade F","5801_F","5801_F","Environment/Foraminifera"
"clade F","5688_F","5688_F","Environment/Foraminifera"
"clade C","C1lx","C1lx","Environment/Foraminifera"
"clade C","5662_C","5662_C","Environment/Foraminifera"
"clade C","5989_C","5989_C","Environment/Foraminifera"
"clade C","C1n","C1n","Environment/Foraminifera"
"clade C","5577_C","5577_C","Environment/Foraminifera"
