ASV	Phylum	Class	Order	Family	Genus	Species	Best_match	Label_match
ASV_1	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C1_C78a	ASV_1_C1_C78a
ASV_1000	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	79.6_J_LC503420	ASV_1000_79.6_J_LC503420
ASV_1001	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	95.4_C15lm	ASV_1001_95.4_C15lm
ASV_101	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	NA	98.9_F5.1_F5g/F5n	ASV_101_98.9_F5.1_F5g/F5n
ASV_102	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	98.7_A13i	ASV_102_98.7_A13i
ASV_1039	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	76.9_A1my	ASV_1039_76.9_A1my
ASV_1058	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5892_F_id87.7_F3.2	79.9_F3o	ASV_1058_79.9_F3o
ASV_106	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106365_A5a_A5y_99.6	A5a	ASV_106_A5a
ASV_1080	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	97.8_C3gd	ASV_1080_97.8_C3gd
ASV_1087	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	95.7_C12a	ASV_1087_95.7_C12a
ASV_1091	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106366	93.4_A2r	ASV_1091_93.4_A2r
ASV_11	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	F3_AJ291525_F3.1_F3h_99.6	F3w	ASV_11_F3w
ASV_111	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_I	NA	I4f	ASV_111_I4f
ASV_1117	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	78.7_A1mw	ASV_1117_78.7_A1mw
ASV_1135	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503409_17OKTs6-04	98.5_J_LC503420	ASV_1135_98.5_J_LC503420
