DIV	Phylum	Class	Order	Family	Genus	Species
A6	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A6
A3	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3
A3g	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3g
5624_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5624_A
5592_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5592_A
5591_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5591_A
A1	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A1
A6d	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A6d
5599_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5599_A
5605_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5605_A
A5a	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A5a
5595_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5595_A
5601_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5601_A
A13i	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A13i
5625_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5625_A
5598_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5598_A
A4at	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A4at
5603_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5603_A
A6c	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A6c
5817_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5817_A
A1er	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A1er
5632_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5632_A
5593_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5593_A
5634_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5634_A
A6h	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A6h
A3v	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3v
5626_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5626_A
5630_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5630_A
5627_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5627_A
5596_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5596_A
5609_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5609_A
A3bt	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3bt
A3by	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3by
6052_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	6052_A
A3ai	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3ai
A3bb	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3bb
5669_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5669_A
5597_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5597_A
5594_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5594_A
A1.2/A1kv	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A1.2/A1kv
5670_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5670_A
A3bs	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3bs
A3ar	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3ar
5765_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5765_A
5838_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5838_A
A3bf	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	A3bf
5819_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5819_A
5771_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5771_A
5602_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5602_A
5746_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5746_A
5633_A	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade A	5633_A
