sample_name,raw_contigs,post_qc_absolute_seqs,post_med_absolute,unique_DIVs_unfilt,clean_DIVs_count,unique_DIVs_filtered,dada2_post_QC,ASVs_count,Symbio_ASV_count_unfilt,Symbio_unique_ASVs_unfilt,Symbio_ASV_count,Symbio_unique_ASVs
Tridacna7,127709,85136,81697,20,81717,20,57599,52007,52009,2,52009,2
Tridacna1,119449,80495,76134,21,76150,20,56852,48474,48477,3,48477,3
Tridacna8,130781,86508,83524,44,83438,28,61679,56098,56101,3,56101,3
Tridacna6,122383,79279,76573,41,76614,41,60440,53430,53433,3,53433,3
Tridacna2,123591,82841,79117,28,79145,28,64637,50275,50278,3,50278,3
Tridacna3,125766,85760,81551,26,81577,26,65034,44756,44759,3,44759,3
Tridacna4,121320,83417,80734,27,80761,27,63696,40223,40226,3,40226,3
Tridacna5,126480,85929,82854,31,82885,31,68436,40820,40823,3,40823,3
Tridacna9,122214,86021,82688,27,82715,27,70398,37591,37594,3,37594,3
Goniastrea1-3,136896,96749,93989,18,94007,18,73660,36875,36877,2,36877,2
Goniastrea1-1,326269,226537,215803,15,215780,11,84207,76159,76161,2,76161,2
Goniastrea1-5,143948,96834,92633,14,92617,10,69065,62502,62504,2,62504,2
Goniastrea1-9,94854,57867,55782,18,55780,15,38658,35028,35030,2,35030,2
Goniastrea1-14,122177,79848,76100,16,76091,13,54974,49695,49698,3,49698,3
Goniastrea2-2,118368,79088,75455,15,75463,14,56199,49984,49988,4,49988,4
Goniastrea2-14,123144,80731,76735,15,76732,13,57264,51262,51264,2,51264,2
Goniastrea2-18,131826,87956,84517,32,84459,20,64020,57559,57562,3,57562,3
Goniastrea2-16,115234,74292,71523,17,71540,17,51938,46882,46884,2,46884,2
Goniastrea2-19,107602,69658,66772,24,66757,18,48159,42908,42912,4,42909,3
Porites1-6,116615,84327,80268,21,80289,21,69790,37435,37405,2,37405,2
Porites2-3,98998,66104,63639,18,63652,17,52979,31562,30957,3,30957,3
Porites2-1,124522,85650,82732,21,82753,21,67880,34773,34775,2,34775,2
Porites2-7,124742,87951,84974,31,85005,31,72414,36737,36717,2,36717,2
Porites2-9,151423,104821,101043,32,101066,31,83511,52768,52745,3,52745,3
Porites1-12,122026,87504,84059,10,84059,9,126122,86806,86805,5,86805,5
Montipora1-2,133594,88903,81621,16,81637,16,60829,42718,42719,1,42719,1
Montipora2-6,121583,85873,80953,17,80959,15,65013,56195,56197,2,56197,2
Stichodactyla1-1,112600,72446,68017,22,68026,20,56833,34429,34430,1,34430,1
Stichodactyla1-2,113641,77856,73202,19,73221,19,62641,37453,37454,1,37454,1
