ASV	Algae1-1	Algae1-2	Algae1-5	Algae1-6	Algae2-2	Algae2-5	Algae2-6	Algae2-7	Stichodactyla1-1	Stichodactyla1-2	Porites1-12	Goniastrea1-14	Goniastrea1-1	Montipora1-2	Goniastrea1-3	Goniastrea1-5	Porites1-6	Goniastrea1-9	Goniastrea2-14	Goniastrea2-16	Goniastrea2-18	Goniastrea2-19	Porites2-1	Goniastrea2-2	Porites2-3	Montipora2-6	Porites2-7	Porites2-9	Amphisorus1-10	Sorites1-12	Sorites1-13	Sorites1-14	Amphisorus1-2	Amphisorus1-3	Amphisorus1-4	Amphisorus1-5	Amphisorus1-7	Sorites1-9	Amphisorus2-1	Sorites2-21	Sorites2-22	Sorites2-29	Amphisorus2-2	Amphisorus2-30	Amphisorus2-31	Amphisorus2-3	Amphisorus2-4	Amphisorus2-5	Amphisorus2-6	Sediment1-5	Sediment1-6	Sediment1-7	Sediment1-8	Sediment2-4	Sediment2-5	Sediment2-6	Sediment2-9	Water1-1	Water1-2	Water1-3	Water1-4	Water2-5	Water2-6	Water2-7	Water2-8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_1	7096	39644	15712	7527	80469	15163	18514	5759	0	0	0	0	0	0	36847	0	0	0	0	0	214	97	0	16	0	0	0	0	48093	556	1312	4074	485	0	31771	40527	99	5845	0	2388	4128	27205	34191	33095	29291	0	30350	55438	0	15792	691	2071	1181	1157	11641	4033	2184	699	2060	758	985	1674	949	1420	882	33820	11358	15847	21195	23488	3633	3715	267	31056
ASV_2	143	192	1017	1012	0	2644	766	1666	0	0	40739	41145	63699	0	0	51727	0	28934	42714	38722	47363	35416	13	41645	15	12	0	8038	0	0	0	0	0	0	0	0	72	0	0	0	292	0	0	0	0	0	0	0	0	42	370	194	28	0	368	126	145	1590	1075	1474	613	1541	883	957	2708	45	0	0	0	0	0	0	0	0
ASV_3	0	120	0	0	0	0	0	0	0	0	39242	0	0	0	0	0	37323	0	0	0	0	0	34760	0	30800	0	34581	43129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	1700	0	0	1359	1279	1216	699	698	506	802	792	0	0	0	0	0	0	0	0	0
ASV_4	2240	6081	453	17931	0	8681	521	5388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31976	0	14575	0	0	0	0	0	28968	0	515	9215	5079	0	0	0	0	0	0	0	0	3513	64	0	536	0	0	705	18	0	30	0	0	0	60	27	0	0	0	0	0	0	0	0	0
ASV_5	0	1432	928	4267	0	785	705	680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18254	13524	0	0	20784	0	19013	0	0	0	0	0	0	11190	0	0	20526	14	32	163	0	22	0	56	784	0	0	0	0	24	0	0	145	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37815	27731	17712	15743	36947	0	28489	1190
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14609	1102	1178	1316	1589	12850	48292	27342	5345
ASV_8	0	70	160	0	0	461	306	325	0	0	6472	8532	12460	0	0	10775	0	6094	8548	8160	9982	7393	0	8277	0	0	0	1575	0	0	0	19	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	292	0	323	0	255	452	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	42718	0	0	0	0	0	0	0	0	0	0	0	56183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	125	801	2464	0	712	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11666	5908	0	0	8238	0	7802	0	0	0	0	0	0	10204	0	0	17904	0	0	52	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
