ASV	Phylum	Class	Order	Family	Genus	Species	Best_match	Label_match
ASV_1	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	C1_C78a	ASV_1_C1_C78a
ASV_10	Dinoflagellata	Dinophyceae	Suessiales	NA	NA	NA	NA	NA
ASV_1000	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	79.6_J_LC503420	ASV_1000_79.6_J_LC503420
ASV_1001	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	95.4_C15lm	ASV_1001_95.4_C15lm
ASV_1006	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra	NA	NA
ASV_1007	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1008	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1009	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_101	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Fugacium	NA	98.9_F5.1_F5g/F5n	ASV_101_98.9_F5.1_F5g/F5n
ASV_1010	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA	NA	NA
ASV_1011	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1012	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1017	Dinoflagellata	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	NA	NA	NA
ASV_102	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	98.7_A13i	ASV_102_98.7_A13i
ASV_1022	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1023	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1024	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1025	Dinoflagellata	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium_trinitatum	NA	NA
ASV_1026	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1027	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_emarginatum	NA	NA
ASV_1028	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp	NA	NA
ASV_1033	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	NA	NA	NA
ASV_1034	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	NA	NA	NA
ASV_1035	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	NA	NA	NA
ASV_1037	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1039	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	76.9_A1my	ASV_1039_76.9_A1my
ASV_1040	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1045	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA	NA	NA
ASV_1046	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1047	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1051	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA	NA	NA
ASV_1053	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_mikimotoi	NA	NA
ASV_1054	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1058	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	5892_F_id87.7_F3.2	79.9_F3o	ASV_1058_79.9_F3o
ASV_1059	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_106	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106365_A5a_A5y_99.6	A5a	ASV_106_A5a
ASV_1061	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1062	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1063	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra	NA	NA
ASV_1065	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1075	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1078	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	NA	NA	NA	NA
ASV_1079	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1080	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	97.8_C3gd	ASV_1080_97.8_C3gd
ASV_1082	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1084	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1087	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	NA	95.7_C12a	ASV_1087_95.7_C12a
ASV_1088	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	Alexandrium_tamutum	NA	NA
ASV_1089	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_109	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	NA	NA	NA	NA
ASV_1091	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_EU106366	93.4_A2r	ASV_1091_93.4_A2r
ASV_1095	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_1096	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_1099	Dinoflagellata	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	NA	NA	NA
ASV_11	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	F3_AJ291525_F3.1_F3h_99.6	F3w	ASV_11_F3w
ASV_1100	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra	NA	NA
ASV_1103	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_1104	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1105	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1107	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1108	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_111	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_I	NA	I4f	ASV_111_I4f
ASV_1111	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	Paragymnodinium_shiwhaense	NA	NA
ASV_1113	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_1117	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	78.7_A1mw	ASV_1117_78.7_A1mw
ASV_1121	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1122	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1123	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1124	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1125	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1126	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	NA	NA	NA
ASV_1127	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Cochlodinium	Cochlodinium_fulvescens	NA	NA
ASV_1128	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	NA	NA	NA
ASV_1131	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_zhouanum	NA	NA
ASV_1132	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1135	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	J_LC503409_17OKTs6-04	98.5_J_LC503420	ASV_1135_98.5_J_LC503420
ASV_1137	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1140	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	NA	86.3_F3o	ASV_1140_86.3_F3o
ASV_1144	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_J	NA	79.9_J_LC503420	ASV_1144_79.9_J_LC503420
ASV_1145	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Pelagodinium	Pelagodinium_sp	NA	NA
ASV_1146	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1148	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA	NA	NA
ASV_1150	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Takayama	Takayama_acrotrocha	NA	NA
ASV_1151	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1152	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1156	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	NA	88_M_D1.2_PSP1-05	ASV_1156_88_M_D1.2_PSP1-05
ASV_1157	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_sp	NA	NA
ASV_1158	Dinoflagellata	Dinophyceae	Suessiales	Biecheleriaceae	Biecheleria	Biecheleria_cincta	NA	NA
ASV_1159	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA	NA	NA
ASV_116	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5599_A_id89.4_A2i	97.5_A2q	ASV_116_97.5_A2q
ASV_1160	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1163	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_emarginatum	NA	NA
ASV_1164	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	77.2_A2t	ASV_1164_77.2_A2t
ASV_1170	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	NA	NA	NA
ASV_1171	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	Paragymnodinium_shiwhaense	NA	NA
ASV_1172	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	NA	NA	NA
ASV_1173	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1176	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_sp	NA	NA
ASV_1177	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Freudenthalidium	F3_AJ291525_F3.1_F3h_99.6	84.2_F3.1	ASV_1177_84.2_F3.1
ASV_1184	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5746_A_id84.4_A2ab	97_A2t	ASV_1184_97_A2t
ASV_1185	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	NA	NA	NA	NA
ASV_1186	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1187	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodiniellum	Gyrodiniellum_shiwhaense	NA	NA
ASV_1188	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA	NA	NA
ASV_119	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	NA	D4l	ASV_119_D4l
ASV_1190	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1191	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1192	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA	NA	NA
ASV_1193	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1194	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	A_DQ174724|A_DQ174725_A5ad_98.7_A5ah_98.7	83.8_A5ah	ASV_1194_83.8_A5ah
ASV_1195	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	Alexandrium_insuetum	NA	NA
ASV_1196	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1198	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	Scrippsiella_hangoei	NA	NA
ASV_12	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Miliolidium	M_AM748617_D1.2	91_M_D1.2_PSP1-05	ASV_12_91_M_D1.2_PSP1-05
ASV_1204	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	85.4_A2w	ASV_1204_85.4_A2w
ASV_1206	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	5883_A_id84.8_A2ab	97.5_A2t	ASV_1206_97.5_A2t
ASV_1208	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	77.2_A2t	ASV_1208_77.2_A2t
ASV_121	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	A1	ASV_121_A1
ASV_1210	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1213	Dinoflagellata	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium_dexteroporum	NA	NA
ASV_1214	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
ASV_1216	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1217	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1218	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1219	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra	NA	NA
ASV_1221	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1222	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	Scrippsiella_sp	NA	NA
ASV_1223	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA	NA	NA
ASV_1227	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1229	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	Scrippsiella_hangoei	NA	NA
ASV_1231	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	clade_I	5572_I_id99.6_I4f	99.6_I4f	ASV_1231_99.6_I4f
ASV_1236	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	Scrippsiella_sp	NA	NA
ASV_1240	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_1241	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Halluxium	H5_AM748609_H5_H5a_99.6	99.3_H5	ASV_1241_99.3_H5
ASV_1246	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	NA	75.4_A4x_A4u	ASV_1246_75.4_A4x_A4u
ASV_1248	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	NA	NA
ASV_125	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis	NA	NA
ASV_1250	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1251	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA	NA	NA
ASV_1252	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_papilionacea	NA	NA
ASV_1253	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum	NA	NA
