Algae1.1a1	Algae1.1a2	Algae1.2a1	Algae1.2a2	Algae1.5a1	Algae1.5a2	Algae1.6a1	Algae1.6a2	Algae2.2a5	Algae2.2a6	Algae2.5a3	Algae2.5a4	Algae2.6a3	Algae2.6a4	Algae2.7a3	Algae2.7a4	Stichodactyla1.1	Stichodactyla1.2	Porites1.12	Goniastrea1.14	Goniastrea1.1	Montipora1.2	Goniastrea1.3	Goniastrea1.5	Porites1.6	Goniastrea1.9	Goniastrea2.14	Goniastrea2.16	Goniastrea2.18	Goniastrea2.19	Porites2.1	Goniastrea2.2	Porites2.3	Montipora2.6	Porites2.7	Porites2.9	Amphisorus1.10	Sorites1.12	Sorites1.13	Sorites1.14	Amphisorus1.2	Amphisorus1.3	Amphisorus1.4	Amphisorus1.5	Amphisorus1.7	Sorites1.9	Amphisorus2.1	Sorites2.21	Sorites2.22	Sorites2.29	Amphisorus2.2	Amphisorus2.30	Amphisorus2.31	Amphisorus2.3	Amphisorus2.4	Amphisorus2.5	Amphisorus2.6	Sediment1.5a1	Sediment1.5a2	Sediment1.6a1	Sediment1.6a2	Sediment1.7a1	Sediment1.7a2	Sediment1.8a3	Sediment1.8a4	Sediment2.4a3	Sediment2.4a4	Sediment2.5a1	Sediment2.5a2	Sediment2.6a1	Sediment2.6a2	Sediment2.9a1	Sediment2.9a2	Water1.1	Water1.2	Water1.3	Water1.4	Water2.5	Water2.6	Water2.7	Water2.8	Tridacna1	Tridacna2	Tridacna3	Tridacna4	Tridacna5	Tridacna6	Tridacna7	Tridacna8	Tridacna9
ASV_1	2809	4287	20627	19017	7999	7713	2726	4801	49088	31381	8397	6766	5697	12817	2799	2960	0	0	0	0	0	0	36847	0	0	0	0	0	214	97	0	16	0	0	0	0	48093	556	1312	4074	485	0	31771	40527	99	5845	0	2388	4128	27205	34191	33095	29291	0	30350	55438	0	10253	5539	0	691	1446	625	440	689	888	0	3781	7860	2282	1751	1022	1162	699	2060	758	985	1674	949	1420	882	33820	11358	15847	21195	23488	3633	3715	267	31056
ASV_10	2399	2266	437	0	2762	1578	0	0	0	0	300	1548	3176	1793	1012	1723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2325	2516	2509	3134	3319	3022	3457	3687	2842	2578	2572	2356	2935	3389	4079	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
