JN558040.1_Symbiodinium_sp._C1	KR996308.1_Symbiodinium_thermophilum	JN558045.1_Symbiodinium_sp._C90	JN558048.1_Symbiodinium_sp._C91	JN558042.1_Symbiodinium_sp._C15	JN558051.1_Symbiodinium_sp._H1	JN558053.1_Symbiodinium_sp._H1a	AJ291513.1_Symbiodinium_sp._clade_H_751	AJ621148.1_Symbiodinium_sp._H_isolate_FL34_1286x	AJ291520.2_Symbiodinium_sp._clade_H_isolate_1678J	MT015652.1_Symbiodinium_sp_P1C4_Clade_H_Heron_Island	JQ247043.1_Symbiodinium_sp._F2	JQ247044.1_Symbiodinium_sp._F2ae	AJ830912.1_Symbiodinium_sp._clade_F_isolate_El67b_1335j	AJ830914.1_Symbiodinium_sp._clade_F_El52_1320j	JQ247046.1_Symbiodinium_sp._F3.2	AJ872076.1_Symbiodinium_sp._clade_F_isolate_MS8_5243X	AJ830916.1_Symbiodinium_sp._clade_F_isolate_MS26_5244x	MT015653.1_Symbiodinium_sp_P2D2_Clade_Fr3_Heron_Island	JQ247045.1_Symbiodinium_sp._F3.1a	AJ308895.1_Symbiodinium_sp._FG188C1	AJ291525.1_Symbiodinium_sp._clade_F_isolate_1635_	MT015654.1_Symbiodinium_sp_P1G6_Clade_Fr3_Heron_Island	JQ247047.1_Symbiodinium_sp._F4.1	AJ621146.1_Symbiodinium_sp._F_isolate_FL77_1349x	JQ247048.1_Symbiodinium_sp._F4.8	AJ621145.1_Symbiodinium_sp._F_isolate_FL74_1334x	AJ291527.1_Symbiodinium_sp._F_isolate_836	AJ621135.1_Symbiodinium_sp._F_isolate_PC227_1628x	LK934666.1_Symbiodinium_kawagutii	JN558066.1_Symbiodinium_sp._F1	JN558072.1_Symbiodinium_sp._F5.2g	AJ872077.1_Symbiodinium_sp._clade_F_isolate_RII40_971X	JN558063.1_Symbiodinium_sp._F5.1	JN558069.1_Symbiodinium_sp._F5.1d	KT149349.1_Symbiodinium_minutum_strain_Mf	KT149346.1_Symbiodinium_antillogorgium	KT149350.1_Symbiodinium_pseudominutum	KT149347.1_Symbiodinium_endomadracis	LK934671.1_Symbiodinium_psygmophilum	KT149345.1_Symbiodinium_aenigmaticum	FN561559.1_Symbiodinium_sp._nr_I1	FN561560.1_Symbiodinium_sp._nr_I2	LC503502.1	LC503503.1	LC503504.1	LC503505.1	KY131782.1_Symbiodinium_glynnii	KF740686.1_Symbiodinium_sp._D8	JN558078.1_Symbiodinium_sp._D1a	KF740688.1_Symbiodinium_sp._D15	JQ247049.1_Symbiodinium_sp._D1.1	JN558081.1_Symbiodinium_sp._D1.2	KM972549.1_Symbiodinium_microadriaticum	KP114226.1_Symbiodinium_sp._TLJ_2015c_strain_CCMP_2469	JN558094.1_Symbiodinium_sp._A13	KM816405.1_Symbiodinium_sp._TLJ_2015a_strain_CCMP_832	JN558091.1_Symbiodinium_sp._A3	KF740671.1_Symbiodinium_pilosum	JN558097.1_Symbiodinium_sp._A2	JN558100.1_Symbiodinium_sp._A2	JN558103.1_Protodinium_simplex	JN558084.1_Symbiodinium_sp._E1	HF568830.1_Symbiodinium_voratum	JN558089.1_Symbiodinium_sp._G2	JN558088.1_Symbiodinium_sp._G2b	MF322789.1_Symbiodinium_endoclionum	MF322787.1_Symbiodinium_spongiolum	KF740677.1_Symbiodinium_sp._C7a
JN558040.1_Symbiodinium_sp._C1	0	0.0000020044	0.0000030066	0.0016699868	0.0050126427	0.0829931306	0.0811331977	0.0811331977	0.0848644846	0.0905847675	0.0786083169	0.2304741112	0.2372202473	0.2545913225	0.2511813931	0.1590642009	0.1574005168	0.1574005168	0.1608914158	0.1679197232	0.1662569744	0.1646024007	0.1588228682	0.2080086286	0.2012077136	0.2065037772	0.2047489023	0.2047489023	0.2047479001	0.2100578895	0.2014959097	0.1862750074	0.1930790818	0.188655567	0.186898273	0.2239027141	0.2239027141	0.2222122738	0.2222122738	0.2170978629	0.2204966662	0.2518068648	0.2502894028	0.2978966769	0.2978995387	0.2928748823	0.2912096539	0.3461747447	0.3445181879	0.3445171857	0.3461705346	0.3127500737	0.2962176612	0.495759916	0.4974095181	0.4974095181	0.4989515395	0.5006073353	0.4925212149	0.4908730807	0.4925216267	0.6349861291	0.4947632457	0.4931088329	0.4447278602	0.4413680513	0.4098345397	0.4131951188	0.010385094
KR996308.1_Symbiodinium_thermophilum	0.0000020044	0	0.0000030066	0.0016699868	0.0050126427	0.0829931306	0.0811331977	0.0811331977	0.0848644846	0.0905847675	0.0786083169	0.2304741112	0.2372202473	0.2545913225	0.2511813931	0.1590642009	0.1574005168	0.1574005168	0.1608914158	0.1679197232	0.1662569744	0.1646024007	0.1588228682	0.2080086286	0.2012077136	0.2065037772	0.2047489023	0.2047489023	0.2047479001	0.2100578895	0.2014959097	0.1862750074	0.1930790818	0.188655567	0.186898273	0.2239027141	0.2239027141	0.2222122738	0.2222122738	0.2170978629	0.2204966662	0.2518068648	0.2502894028	0.2978966769	0.2978995387	0.2928748823	0.2912096539	0.3461747447	0.3445181879	0.3445171857	0.3461705346	0.3127500737	0.2962176612	0.495759916	0.4974095181	0.4974095181	0.4989515395	0.5006073353	0.4925212149	0.4908730807	0.4925216267	0.6349861291	0.4947632457	0.4931088329	0.4447278602	0.4413680513	0.4098345397	0.4131951188	0.010385094
JN558045.1_Symbiodinium_sp._C90	0.0000030066	0.0000030066	0	0.0016689846	0.0050116405	0.0829921284	0.0811321955	0.0811321955	0.0848634824	0.0905837653	0.0786073147	0.230473109	0.2372192451	0.2545903203	0.2511803909	0.1590631987	0.1573995146	0.1573995146	0.1608904136	0.167918721	0.1662559722	0.1646013985	0.158821866	0.2080076264	0.2012067114	0.206502775	0.2047479001	0.2047479001	0.2047468979	0.2100568873	0.2014949075	0.1862740052	0.1930780796	0.1886545648	0.1868972708	0.2239017119	0.2239017119	0.2222112716	0.2222112716	0.2170968607	0.220495664	0.2518058626	0.2502884006	0.2978956747	0.2978985365	0.2928738801	0.2912086517	0.3461737425	0.3445171857	0.3445161835	0.3461695324	0.3127490715	0.296216659	0.4957589138	0.4974085159	0.4974085159	0.4989505373	0.5006063331	0.4925202127	0.4908720785	0.4925206245	0.6349851269	0.4947622435	0.4931078307	0.444726858	0.4413670491	0.4098335375	0.4131941166	0.0103840918
JN558048.1_Symbiodinium_sp._C91	0.0016699868	0.0016699868	0.0016689846	0	0.0033446603	0.0813251482	0.0794652153	0.0794652153	0.0831965022	0.0889167851	0.0769403345	0.2288061288	0.2355522649	0.2529233401	0.2495134107	0.1573962185	0.1557325344	0.1557325344	0.1592234334	0.1662517408	0.164588992	0.1629344183	0.1571548858	0.2063406462	0.1995397312	0.2048357948	0.2030809199	0.2030809199	0.2030799177	0.2083899071	0.1998279273	0.184607025	0.1914110994	0.1869875846	0.1852302906	0.2222347317	0.2222347317	0.2205442914	0.2205442914	0.2154298805	0.2188286838	0.2501388824	0.2486214204	0.2962286945	0.2962315563	0.2912068999	0.2895416715	0.3445067623	0.3428502055	0.3428492033	0.3445025522	0.3110820913	0.2945496788	0.4940919336	0.4957415357	0.4957415357	0.4972835571	0.4989393529	0.4908532325	0.4892050983	0.4908536443	0.6333181467	0.4930952633	0.4914408505	0.4430598778	0.4397000689	0.4081665573	0.4115271364	0.0120490676
JN558042.1_Symbiodinium_sp._C15	0.0050126427	0.0050126427	0.0050116405	0.0033446603	0	0.0814029713	0.0795430384	0.0795430384	0.0832743253	0.0889946082	0.0770181576	0.2288839519	0.235630088	0.2530011632	0.2495912338	0.1574740416	0.1558103575	0.1558103575	0.1593012565	0.1663295639	0.1646668151	0.1630122414	0.1572327089	0.2064184693	0.1996175543	0.2049136179	0.203158743	0.203158743	0.2031577408	0.2084677302	0.1999057504	0.1846848481	0.1914889225	0.1870654077	0.1853081137	0.2223125548	0.2223125548	0.2206221145	0.2206221145	0.2155077036	0.2189065069	0.2502167055	0.2486992435	0.2963065176	0.2963093794	0.291284723	0.2896194946	0.3445845854	0.3429280286	0.3429270264	0.3445803753	0.3111599144	0.2946275019	0.4941697567	0.4958193588	0.4958193588	0.4973613802	0.499017176	0.4909310556	0.4892829214	0.4909314674	0.6333959698	0.4931730864	0.4915186736	0.4431377009	0.439777892	0.4082443804	0.4116049595	0.0153917235
JN558051.1_Symbiodinium_sp._H1	0.0829931306	0.0829931306	0.0829921284	0.0813251482	0.0814029713	0	0.0018639417	0.0018639417	0.005597233	0.0113175159	0.0364522895	0.2389534218	0.2456995579	0.2630706331	0.2596607037	0.1675435115	0.1658798274	0.1658798274	0.1693707264	0.1763990338	0.174736285	0.1730817113	0.1673021788	0.2164879392	0.2096870242	0.2149830878	0.2132282129	0.2132282129	0.2132272107	0.2185372001	0.2099752203	0.194754318	0.2015583924	0.1971348776	0.1953775836	0.2323820247	0.2323820247	0.2306915844	0.2306915844	0.2255771735	0.2289759768	0.2602861754	0.2587687134	0.3063759875	0.3063788493	0.3013541929	0.2996889645	0.3546540553	0.3529974985	0.3529964963	0.3546498452	0.3212293843	0.3046969718	0.5042392266	0.5058888287	0.5058888287	0.5074308501	0.5090866459	0.5010005255	0.4993523913	0.5010009373	0.6434654397	0.5032425563	0.5015881435	0.4532071708	0.4498473619	0.4183138503	0.4216744294	0.0933722114
JN558053.1_Symbiodinium_sp._H1a	0.0811331977	0.0811331977	0.0811321955	0.0794652153	0.0795430384	0.0018639417	0	0.0000020044	0.0037373001	0.009457583	0.0345923566	0.2370934889	0.243839625	0.2612107002	0.2578007708	0.1656835786	0.1640198945	0.1640198945	0.1675107935	0.1745391009	0.1728763521	0.1712217784	0.1654422459	0.2146280063	0.2078270913	0.2131231549	0.21136828	0.21136828	0.2113672778	0.2166772672	0.2081152874	0.1928943851	0.1996984595	0.1952749447	0.1935176507	0.2305220918	0.2305220918	0.2288316515	0.2288316515	0.2237172406	0.2271160439	0.2584262425	0.2569087805	0.3045160546	0.3045189164	0.29949426	0.2978290316	0.3527941224	0.3511375656	0.3511365634	0.3527899123	0.3193694514	0.3028370389	0.5023792937	0.5040288958	0.5040288958	0.5055709172	0.507226713	0.4991405926	0.4974924584	0.4991410044	0.6416055068	0.5013826234	0.4997282106	0.4513472379	0.447987429	0.4164539174	0.4198144965	0.0915122785
AJ291513.1_Symbiodinium_sp._clade_H_751	0.0811331977	0.0811331977	0.0811321955	0.0794652153	0.0795430384	0.0018639417	0.0000020044	0	0.0037373001	0.009457583	0.0345923566	0.2370934889	0.243839625	0.2612107002	0.2578007708	0.1656835786	0.1640198945	0.1640198945	0.1675107935	0.1745391009	0.1728763521	0.1712217784	0.1654422459	0.2146280063	0.2078270913	0.2131231549	0.21136828	0.21136828	0.2113672778	0.2166772672	0.2081152874	0.1928943851	0.1996984595	0.1952749447	0.1935176507	0.2305220918	0.2305220918	0.2288316515	0.2288316515	0.2237172406	0.2271160439	0.2584262425	0.2569087805	0.3045160546	0.3045189164	0.29949426	0.2978290316	0.3527941224	0.3511375656	0.3511365634	0.3527899123	0.3193694514	0.3028370389	0.5023792937	0.5040288958	0.5040288958	0.5055709172	0.507226713	0.4991405926	0.4974924584	0.4991410044	0.6416055068	0.5013826234	0.4997282106	0.4513472379	0.447987429	0.4164539174	0.4198144965	0.0915122785
AJ621148.1_Symbiodinium_sp._H_isolate_FL34_1286x	0.0848644846	0.0848644846	0.0848634824	0.0831965022	0.0832743253	0.005597233	0.0037373001	0.0037373001	0	0.0094804175	0.0383236435	0.2408247758	0.2475709119	0.2649419871	0.2615320577	0.1694148655	0.1677511814	0.1677511814	0.1712420804	0.1782703878	0.176607639	0.1749530653	0.1691735328	0.2183592932	0.2115583782	0.2168544418	0.2150995669	0.2150995669	0.2150985647	0.2204085541	0.2118465743	0.196625672	0.2034297464	0.1990062316	0.1972489376	0.2342533787	0.2342533787	0.2325629384	0.2325629384	0.2274485275	0.2308473308	0.2621575294	0.2606400674	0.3082473415	0.3082502033	0.3032255469	0.3015603185	0.3565254093	0.3548688525	0.3548678503	0.3565211992	0.3231007383	0.3065683258	0.5061105806	0.5077601827	0.5077601827	0.5093022041	0.5109579999	0.5028718795	0.5012237453	0.5028722913	0.6453367937	0.5051139103	0.5034594975	0.4550785248	0.4517187159	0.4201852043	0.4235457834	0.0952435654
AJ291520.2_Symbiodinium_sp._clade_H_isolate_1678J	0.0905847675	0.0905847675	0.0905837653	0.0889167851	0.0889946082	0.0113175159	0.009457583	0.009457583	0.0094804175	0	0.0440439264	0.2465450587	0.2532911948	0.27066227	0.2672523406	0.1751351484	0.1734714643	0.1734714643	0.1769623633	0.1839906707	0.1823279219	0.1806733482	0.1748938157	0.2240795761	0.2172786611	0.2225747247	0.2208198498	0.2208198498	0.2208188476	0.226128837	0.2175668572	0.2023459549	0.2091500293	0.2047265145	0.2029692205	0.2399736616	0.2399736616	0.2382832213	0.2382832213	0.2331688104	0.2365676137	0.2678778123	0.2663603503	0.3139676244	0.3139704862	0.3089458298	0.3072806014	0.3622456922	0.3605891354	0.3605881332	0.3622414821	0.3288210212	0.3122886087	0.5118308635	0.5134804656	0.5134804656	0.515022487	0.5166782828	0.5085921624	0.5069440282	0.5085925742	0.6510570766	0.5108341932	0.5091797804	0.4607988077	0.4574389988	0.4259054872	0.4292660663	0.1009638483
